Ex-dividend date,divCash,splitFactor,div_ratio,ticker,DecDay,Time,Link,FundamentLink,PreNewsPrice,OpenPrice,MaxBeforeRecord,MinBeforeRecord,CloseBeforeRecord,OpenAtRecord,AvgVol,DayDiff,positive_close,gain,DivToPrice,month,week,weekday,predict,Gain
2007-09-20,0.525,1.0,0.021324126,NFJ,2007-09-14,AMC,https://www.stockwatch.com/News/Item/U-z0126696-U!NFJ-20070914/U/NFJ,https://www.stockwatch.com/Quote/Fundamentals?U:NFJ,23.860001,23.700001,24.75,23.65,24.620001,24.25,174675.0,6,1,0.03881856376292969,2.2,9,37,4,0.7275584612062136,1.0388185637629297
2007-09-26,0.21,1.0,0.020507813,AHT,2007-09-17,AMC,https://www.stockwatch.com/News/Item/U-b006489-U!AHT-20070917/U/AHT,https://www.stockwatch.com/Quote/Fundamentals?U:AHT,10.0,10.0,10.66,9.92,10.24,10.17,1013820.0,9,1,0.02400000000000002,2.1,9,38,0,0.8088122604292692,1.024
2007-09-26,0.41,1.0,0.034893617,RSO,2007-09-17,DAY,https://www.stockwatch.com/News/Item/U-i0303020-U!RSO-20070917/U/RSO,https://www.stockwatch.com/Quote/Fundamentals?U:RSO,11.48,11.16,12.6601,11.15,11.75,11.47,396650.0,9,1,0.05286738351254483,3.57,9,38,0,0.5600753065638339,1.0528673835125448
2007-10-18,1.65,1.0,0.022639956,TNP,2007-09-24,DAY,https://www.stockwatch.com/News/Item/U-pNYM056-U!TNP-20070924/U/TNP,https://www.stockwatch.com/Quote/Fundamentals?U:TNP,71.62,72.5,74.07,70.06,72.88,70.82,103935.0,24,1,0.00524137931034474,2.3,9,39,0,0.6876796375360913,1.0052413793103447
2007-10-05,0.37,1.0,0.024010383,KCAP,2007-09-25,DAY,https://www.stockwatch.com/News/Item/U-z0127341-U!KCAP-20070925/U/KCAP,https://www.stockwatch.com/Quote/Fundamentals?U:KCAP,14.74,14.98,15.5,14.96,15.41,15.3,75825.0,10,1,0.02870493991989309,2.51,9,39,1,0.6917400155342475,1.028704939919893
2007-10-15,0.44,1.0,0.021317829,GLQ,2007-09-28,DAY,https://www.stockwatch.com/News/Item/U-b005518-U!GLQ-20070928/U/GLQ,https://www.stockwatch.com/Quote/Fundamentals?U:GLQ,20.08,20.17,20.72,20.13,20.64,20.41,55320.0,17,1,0.023301933564700006,2.19,9,39,4,0.7821416309485946,1.0233019335647
2007-12-28,1.9,1.0,0.108571429,SCS,2007-10-05,AMC,https://www.stockwatch.com/News/Item/U-pCLTH007-U!SCS-20071005/U/SCS,https://www.stockwatch.com/Quote/Fundamentals?U:SCS,19.13,19.19,19.24,14.6,17.5,16.28,643385.0,84,0,-0.08806670140698292,9.93,10,40,4,0.8779461989297574,0.9119332985930171
2007-12-12,0.45,1.0,0.020910781,FHN,2007-10-16,AMC,https://www.stockwatch.com/News/Item/U-z0128856-U!FHN-20071016/U/FHN,https://www.stockwatch.com/Quote/Fundamentals?U:FHN,24.52,24.75,26.46,19.31,21.52,22.7,1671840.0,57,0,-0.13050505050505057,1.84,10,42,1,0.2626988321570061,0.8694949494949494
2007-11-02,0.6,1.0,0.571428571,CLHI,2007-10-16,AMC,https://www.stockwatch.com/News/Item/U-pLATU138-U!CLHI-20071016/U/CLHI,https://www.stockwatch.com/Quote/Fundamentals?U:CLHI,1.0,0.99,1.18,0.99,1.05,0.53,86557.05,17,1,0.06060606060606055,60.0,10,42,1,0.8748385708487636,1.0606060606060606
2007-10-30,0.425,1.0,0.021941146,CQP,2007-10-18,AMC,https://www.stockwatch.com/News/Item/U-b005912-U!CQP-20071018/U/CQP,https://www.stockwatch.com/Quote/Fundamentals?U:CQP,18.55,18.95,19.5,18.2,19.37,19.0,172010.0,12,1,0.022163588390501365,2.29,10,42,3,0.6901081349960758,1.0221635883905014
2007-11-13,0.62,1.0,0.033243968,ABR,2007-10-25,DAY,https://www.stockwatch.com/News/Item/U-pNYTH014-U!ABR-20071025/U/ABR,https://www.stockwatch.com/Quote/Fundamentals?U:ABR,18.35,18.39,19.18,16.2,18.65,18.6,223735.0,19,1,0.014138118542686096,3.38,10,43,3,0.7884426986296246,1.014138118542686
2007-11-19,0.44,1.0,0.033282905,MCGC,2007-10-25,AMC,https://www.stockwatch.com/News/Item/U-pNETH138-U!MCGC-20071025/U/MCGC,https://www.stockwatch.com/Quote/Fundamentals?U:MCGC,13.37,13.61,14.16,12.38,13.22,12.95,472955.0,25,0,-0.02865540044085224,3.29,10,43,3,0.6546899726004569,0.9713445995591478
2007-11-19,0.6,1.0,0.029254022,BC,2007-10-26,DAY,https://www.stockwatch.com/News/Item/U-pAQF011-U!BC-20071026/U/BC,https://www.stockwatch.com/Quote/Fundamentals?U:BC,21.6,21.86,22.85,20.16,20.51,20.34,1006585.0,24,0,-0.061756633119853466,2.78,10,43,4,0.6489962168143989,0.9382433668801465
2007-11-27,0.58,1.0,0.020714286,DSX,2007-10-29,DAY,https://www.stockwatch.com/News/Item/U-pNYM065-U!DSX-20071029/U/DSX,https://www.stockwatch.com/Quote/Fundamentals?U:DSX,43.17,44.82,44.74,26.8,28.0,28.22,3219930.0,29,0,-0.3752788933511825,1.34,10,44,0,0.20945304486648,0.6247211066488175
2007-11-07,0.22,1.0,0.02673147,usa,2007-10-29,DAY,https://www.stockwatch.com/News/Item/U-i0321065-U!USA-20071029/U/USA,https://www.stockwatch.com/Quote/Fundamentals?U:usa,8.12,8.15,8.32,8.08,8.23,7.69,298690.0,9,1,0.009815950920245342,2.71,10,44,0,0.6664869629403248,1.0098159509202453
2007-12-05,1.0,1.0,0.027122322,ACAS,2007-10-31,BMO,https://www.stockwatch.com/News/Item/U-pNETU130-U!ACAS-20071030/U/ACAS,https://www.stockwatch.com/Quote/Fundamentals?U:ACAS,41.53,42.91,43.94,34.6,36.87,36.52,1490565.0,35,0,-0.14075972966674433,2.41,10,44,2,0.8544132479445807,0.8592402703332557
2007-11-14,0.3,1.0,0.024509804,HTGC,2007-11-01,AMC,https://www.stockwatch.com/News/Item/U-b005297-U!HTGC-20071101/U/HTGC,https://www.stockwatch.com/Quote/Fundamentals?U:HTGC,12.25,12.88,12.88,11.67,12.24,12.14,160015.0,13,0,-0.049689440993788914,2.45,11,44,3,0.6362756452985547,0.9503105590062111
2007-12-27,0.75,1.0,0.02044711,RWT,2007-11-05,AMC,https://www.stockwatch.com/News/Item/U-b006652-U!RWT-20071105/U/RWT,https://www.stockwatch.com/Quote/Fundamentals?U:RWT,25.47,27.6,39.2099,27.6,36.68,35.73,840675.0,52,1,0.32898550724637676,2.94,11,45,0,0.9057433248891051,1.3289855072463768
2007-11-21,2.0,1.0,0.056963828,RWT,2007-11-05,AMC,https://www.stockwatch.com/News/Item/U-b006652-U!RWT-20071105/U/RWT,https://www.stockwatch.com/Quote/Fundamentals?U:RWT,25.47,27.6,39.2099,27.6,35.11,32.55,840675.0,16,1,0.2721014492753622,7.85,11,45,0,0.869302583082549,1.2721014492753622
2007-12-06,0.36,1.0,0.035502959,TICC,2007-11-07,DAY,https://www.stockwatch.com/News/Item/U-i0325250-U!TICC-20071107/U/TICC,https://www.stockwatch.com/Quote/Fundamentals?U:TICC,12.01,11.01,11.03,9.66,10.14,9.95,121495.0,29,0,-0.07901907356948223,3.0,11,45,2,0.6275529532490444,0.9209809264305178
2007-12-12,0.43,1.0,0.029452055,BKCC,2007-11-07,AMC,https://www.stockwatch.com/News/Item/U-b006168-U!BKCC-20071107/U/BKCC,https://www.stockwatch.com/Quote/Fundamentals?U:BKCC,13.2,13.29,15.2188,13.16,14.6,14.6,67935.0,35,1,0.09857035364936051,3.26,11,45,2,0.8523332539762032,1.0985703536493605
2007-12-12,0.42,1.0,0.02781457,ARCC,2007-11-08,DAY,https://www.stockwatch.com/News/Item/U-b005403-U!ARCC-20071108/U/ARCC,https://www.stockwatch.com/Quote/Fundamentals?U:ARCC,15.39,15.56,16.19,14.25,15.1,15.1,483880.0,34,0,-0.029562982005141403,2.73,11,45,3,0.7559188336161302,0.9704370179948586
2007-11-16,0.88,1.0,0.061366806,ADX,2007-11-08,AMC,https://www.stockwatch.com/News/Item/U-pNETH092-U!ADX-20071108/U/ADX,https://www.stockwatch.com/Quote/Fundamentals?U:ADX,14.4,14.29,14.7,14.15,14.34,13.72,96390.0,8,1,0.0034989503149056578,6.11,11,45,3,0.9189515898037419,1.0034989503149057
2007-12-13,0.59,1.0,0.032650802,CSE,2007-11-09,AMC,https://www.stockwatch.com/News/Item/U-pNEF047-U!CSE-20071109/U/CSE,https://www.stockwatch.com/Quote/Fundamentals?U:CSE,15.21,15.43,19.55,14.05,18.07,17.27,2942965.0,34,1,0.17109526895657812,3.88,11,45,4,0.6983329764290159,1.1710952689565781
2007-12-27,0.212,1.0,0.020325983,BGS,2007-11-13,AMC,https://www.stockwatch.com/News/Item/U-b006506-U!BGS-20071113/U/BGS,https://www.stockwatch.com/Quote/Fundamentals?U:BGS,11.25,11.43,11.96,9.72,10.43,10.22,95695.0,44,0,-0.0874890638670166,1.88,11,46,1,0.13695367138976422,0.9125109361329834
